assessmentid,empid,courseid,skillid,assessment_score,max_score,due_date,test_taken,test_completed
1,1,1,1,85,100,2024-12-31,2024-11-01,2024-11-15
2,1,1,2,90,100,2024-12-31,2024-11-05,2024-11-15
3,2,1,3,75,100,2024-12-31,2024-11-10,2024-11-20

4,1,2,1,88,100,2024-12-31,2024-11-01,2024-11-15
5,3,2,2,80,100,2024-12-31,2024-11-02,2024-11-16
6,3,2,3,92,100,2024-12-31,2024-11-07,2024-11-17

7,4,3,4,70,100,2024-12-31,2024-11-01,2024-11-15
8,5,3,5,95,100,2024-12-31,2024-11-05,2024-11-20

9,6,4,6,82,100,2024-12-31,2024-11-01,2024-11-15
10,7,4,7,78,100,2024-12-31,2024-11-02,2024-11-18
11,7,4,8,,100,,,

12,8,5,9,,100,,,
13,9,5,10,85,100,2024-12-31,2024-11-03,2024-11-21

14,10,6,11,70,100,2024-12-31,2024-11-01,2024-11-15
15,,6,12,,100,,,
16,,6,13,,100,,,

17,11,7,14,92,100,2024-12-31,2024-11-04,2024-11-20
18,,7,15,,100,,,

19,12,8,16,90,100,2024-12-31,2024-11-05,2024-11-21
20,,8,17,,100,,,
21,,8,18,,100,,,

22,13,9,19,,100,,,
23,14,9,20,75,100,2024-12-31,2024-11-02,2024-11-17

24,,10,21,,100,,,
25,15,10,22,88,100,2024-12-31,2024-11-01,2024-11-15
26,15,10,23,,100,,,

27,,11,24,,100,,,
28,16,11,25,80,100,2024-12-31,2024-11-05,2024-11-20

29,,12,26,,100,,,
30,17,12,27,95,100,2024-12-31,2024-11-01,2024-11-15

31,,13,28,,100,,,
32,18,13,29,90,100,2024-12-31,2024-11-02,2024-11-20
33,,13,30,,100,,,
1,1,1,1,85,100,2024-12-31,2024-11-01,2024-11-15
2,1,1,2,90,100,2024-12-31,2024-11-05,2024-11-15
3,2,1,3,75,100,2024-12-31,2024-11-10,2024-11-20

4,2,2,1,78,100,2024-12-31,2024-11-03,2024-11-21
5,3,2,2,82,100,2024-12-31,2024-11-07,2024-11-17
6,3,2,3,92,100,2024-12-31,2024-11-11,2024-11-18

7,4,3,4,70,100,2024-12-31,2024-11-02,2024-11-16
8,5,3,5,95,100,2024-12-31,2024-11-05,2024-11-20

9,6,4,6,82,100,2024-12-31,2024-11-01,2024-11-15
10,6,4,7,75,100,2024-12-31,2024-11-04,2024-11-19
11,7,4,8,88,100,2024-12-31,2024-11-03,2024-11-18

12,8,5,9,90,100,2024-12-31,2024-11-02,2024-11-21
13,9,5,10,85,100,2024-12-31,2024-11-04,2024-11-22

