empid,skillid,proficiency
1,1,5
1,2,4
1,3,3
1,4,5
1,5,4
2,1,4
2,2,5
2,3,4
2,4,3
2,11,5
3,1,3
3,2,3
3,12,4
3,4,5
3,13,4
4,1,5
4,2,4
4,3,5
4,5,3
4,14,4
5,1,4
5,2,4
5,11,5
5,4,5
5,10,3
6,1,5
6,2,5
6,12,4
6,5,3
6,14,5
7,1,4
7,2,3
7,4,5
7,13,4
7,10,3
8,1,3
8,2,4
8,4,3
8,9,5
8,11,4
9,1,4
9,2,5
9,3,4
9,4,5
9,10,3
10,1,5
10,2,4
10,3,5
10,5,4
10,9,3
11,1,4
11,2,4
11,12,5
11,4,5
11,8,3
12,1,5
12,2,5
12,3,4
12,14,3
12,10,4
13,1,4
13,2,4
13,11,5
13,4,4
13,5,3
14,1,3
14,2,4
14,3,5
14,5,4
14,8,4
15,1,4
15,2,5
15,12,4
15,4,5
15,9,3
16,1,5
16,2,4
16,10,4
16,5,3
16,3,5
17,1,4
17,2,5
17,4,3
17,11,4
17,14,5
18,1,3
18,2,4
18,5,5
18,4,4
18,12,3
19,1,4
19,2,3
19,3,4
19,4,5
19,10,4
20,1,5
20,2,4
20,3,3
20,4,4
20,14,5
21,1,2
21,2,2
21,3,1
21,4,3
21,5,1
22,1,3
22,2,2
22,4,2
22,8,1
23,1,2
23,2,1
23,9,3
23,10,2
24,1,1
24,2,2
24,3,1
24,4,3
25,1,2
25,4,2
25,5,1
25,8,3
26,1,1
26,2,1
26,3,2
26,12,3
27,1,3
27,4,1
27,8,2
28,1,2
28,2,1
28,5,2
28,9,1
29,1,2
29,3,2
29,4,1
30,1,3
30,2,2
30,4,1
30,10,2
31,1,2
31,3,1
31,4,2
31,8,3
32,1,1
32,2,2
32,5,2
33,1,3
33,2,1
33,4,1
34,1,2
34,2,2
34,10,1
35,1,1
35,3,1
35,4,2
36,1,3
36,2,1
36,12,2
37,1,1
37,4,1
37,8,2
38,1,2
38,2,3
38,3,1
39,1,1
39,4,2
39,10,2
40,1,2
40,2,2
40,4,1
41,1,3
41,2,1
41,4,2
42,1,2
42,3,1
42,4,3
43,1,1
43,4,2
44,1,2
44,2,2
45,1,1
45,4,1
46,1,2
46,2,2
46,3,2
47,1,3
47,3,1
48,1,2
48,4,2
49,1,1
49,4,1
50,1,2
50,2,1
21,16,4
21,17,3
21,18,5
21,19,2
21,20,3
22,16,5
22,17,4
22,18,3
22,20,5
23,16,3
23,17,5
23,18,2
23,19,4
24,16,2
24,18,4
24,19,3
25,16,4
25,17,3
25,20,2
26,16,5
26,17,4
26,19,3
27,16,3
27,17,2
27,20,5
28,16,2
28,18,4
28,19,3
29,16,3
29,17,3
29,18,2
30,16,4
30,19,4
30,20,5
31,16,3
31,18,1
31,20,4
32,16,5
32,17,3
32,19,4
33,16,4
33,17,2
33,20,3
34,16,2
34,18,3
34,20,5
35,16,3
35,17,4
35,19,3
36,16,2
36,17,1
36,18,1
36,19,3
37,16,1
37,18,2
37,20,1
38,16,2
38,17,2
38,19,1
39,16,3
39,17,2
39,20,2
40,16,1
40,18,1
40,19,1
41,16,2
41,17,1
1,16,4
1,17,5
1,18,3
1,19,4
1,20,3
2,16,5
2,17,4
2,18,3
2,19,2
3,16,3
3,17,2
3,18,4
4,16,2
4,18,3
4,19,2
5,16,4
5,17,3
5,20,5
6,16,3
6,17,4
6,19,1
7,16,2
7,18,1
8,16,3
8,17,1
8,20,2
9,16,2
9,18,2
10,16,4
10,17,3
10,19,1
11,16,1
11,18,2
11,20,1
12,16,3
12,19,2
13,16,2
13,17,1
14,16,1
14,19,1
15,16,2
15,17,2
15,20,3
36,31,4
36,32,5
36,33,4
36,34,3
36,35,4
37,31,5
37,32,4
37,33,4
37,34,2
37,35,5
38,31,3
38,32,2
38,34,4
38,35,3
39,31,4
39,32,3
39,33,2
39,34,3
40,31,2
40,32,2
40,33,4
40,34,5
40,35,3
41,31,4
41,32,5
41,33,3
41,34,4
41,35,2
42,31,3
42,32,4
42,33,5
42,34,2
43,31,4
43,32,3
43,33,2
43,34,3
43,35,1
44,31,5
44,32,4
44,33,3
44,34,2
45,31,4
45,32,3
45,33,4
45,34,1
45,35,3
46,31,2
46,32,1
46,33,2
46,34,3
47,31,3
47,32,4
47,33,5
47,34,4
48,31,4
48,32,3
48,33,2
48,34,3
49,31,5
49,32,4
49,33,3
50,31,4
50,32,5
50,34,2
42,16,3
42,18,2
43,16,1
43,20,1
44,16,2
44,17,1
45,16,2
45,19,2
46,16,1
46,17,2
46,20,1
47,16,2
47,18,1
48,16,1
48,19,2
49,16,2
49,18,1
50,16,1
50,17,1
1,31,2
1,32,1
1,33,2
2,31,3
2,32,2
2,34,1
3,31,4
3,32,3
3,33,1
4,31,1
4,32,1
4,33,2
4,34,1
5,31,2
5,32,2
6,31,1
6,32,2
6,34,1
7,31,2
7,33,1
8,31,1
8,32,1
8,34,2
9,31,3
9,32,2
9,33,2
10,31,1
10,32,2
10,33,1
11,31,2
11,34,1
12,31,1
12,32,1
12,33,2
13,31,2
13,32,3
14,31,1
14,32,2
14,33,1
15,31,2
15,33,2
