skillID,skillName,category
550e8400-e29b-41d4-a716-446655440000,Python,Data Science
550e8400-e29b-41d4-a716-446655440001,R,Data Science
550e8400-e29b-41d4-a716-446655440002,TensorFlow,Data Science
550e8400-e29b-41d4-a716-446655440003,React,Frontend
550e8400-e29b-41d4-a716-446655440004,Angular,Frontend
550e8400-e29b-41d4-a716-446655440005,Vue.js,Frontend
550e8400-e29b-41d4-a716-446655440006,Node.js,Backend
550e8400-e29b-41d4-a716-446655440007,Express.js,Backend
550e8400-e29b-41d4-a716-446655440008,MongoDB,Database
550e8400-e29b-41d4-a716-446655440009,SQL,Database
550e8400-e29b-41d4-a716-44665544000a,Docker,DevOps
550e8400-e29b-41d4-a716-44665544000b,Kubernetes,DevOps
550e8400-e29b-41d4-a716-44665544000c,Git,Version Control
550e8400-e29b-41d4-a716-44665544000d,JavaScript,Fullstack
550e8400-e29b-41d4-a716-44665544000e,TypeScript,Fullstack
550e8400-e29b-41d4-a716-44665544000f,HTML,Fullstack
550e8400-e29b-41d4-a716-446655440010,CSS,Fullstack
550e8400-e29b-41d4-a716-446655440011,Bash,DevOps
550e8400-e29b-41d4-a716-446655440012,Scala,Data Science
550e8400-e29b-41d4-a716-446655440013,Spark,Data Science
550e8400-e29b-41d4-a716-446655440014,PHP,Backend
550e8400-e29b-41d4-a716-446655440015,Ruby,Backend
550e8400-e29b-41d4-a716-446655440016,Swift,Mobile
550e8400-e29b-41d4-a716-446655440017,Kotlin,Mobile
550e8400-e29b-41d4-a716-446655440018,Flutter,Mobile
550e8400-e29b-41d4-a716-446655440019,SwiftUI,Mobile
550e8400-e29b-41d4-a716-44665544001a,Django,Backend
550e8400-e29b-41d4-a716-44665544001b,Ruby on Rails,Backend
550e8400-e29b-41d4-a716-44665544001c,PostgreSQL,Database
550e8400-e29b-41d4-a716-44665544001d,Redis,Database
550e8400-e29b-41d4-a716-44665544001e,TensorFlow.js,Data Science
550e8400-e29b-41d4-a716-44665544001f,C#,Fullstack
550e8400-e29b-41d4-a716-446655440020,GraphQL,Backend
550e8400-e29b-41d4-a716-446655440021,Flask,Backend
550e8400-e29b-41d4-a716-446655440022,Apache Spark,Data Science
550e8400-e29b-41d4-a716-446655440023,Tableau,Data Visualization
550e8400-e29b-41d4-a716-446655440024,Power BI,Data Visualization
550e8400-e29b-41d4-a716-446655440025,Machine Learning,Data Science
550e8400-e29b-41d4-a716-446655440026,Deep Learning,Data Science
550e8400-e29b-41d4-a716-446655440027,DevOps,DevOps
550e8400-e29b-41d4-a716-446655440028,Jenkins,DevOps
550e8400-e29b-41d4-a716-446655440029,C++,Programming
550e8400-e29b-41d4-a716-44665544002a,Go,Programming
550e8400-e29b-41d4-a716-44665544002b,Swift Package Manager,Mobile
550e8400-e29b-41d4-a716-44665544002c,React Native,Mobile
550e8400-e29b-41d4-a716-44665544002d,WebAssembly,Frontend
550e8400-e29b-41d4-a716-44665544002e,Sass,Frontend
550e8400-e29b-41d4-a716-44665544002f,Microservices,Architecture
550e8400-e29b-41d4-a716-446655440030,Spring Boot,Backend
550e8400-e29b-41d4-a716-446655440031,Chef,DevOps
550e8400-e29b-41d4-a716-446655440032,Ansible,DevOps
550e8400-e29b-41d4-a716-446655440033,Contentful,CMS
550e8400-e29b-41d4-a716-446655440034,Shopify,E-commerce
