empID,courseID,skillID,skillCategory,assessmentID,assessment_score,max_score,due_date,test_taken,test_completed
1,1,1,Programming Languages,101,85,100,2024-05-01,2024-04-28,2024-04-30
1,2,2,Programming Languages,102,90,100,2024-05-05,2024-05-01,2024-05-03
2,3,3,Management Skills,103,75,100,2024-05-10,2024-05-07,2024-05-09
2,4,4,Data Skills,104,80,100,2024-05-15,2024-05-12,2024-05-14
3,5,5,Data Science,105,95,100,2024-05-20,2024-05-18,2024-05-19
3,6,6,Soft Skills,106,70,100,2024-05-25,2024-05-22,2024-05-24
4,7,7,Web Development,107,88,100,2024-05-30,2024-05-28,2024-05-29
4,8,8,Web Development,108,82,100,2024-06-01,2024-05-31,2024-05-31
5,9,9,Technical Skills,109,92,100,2024-06-05,2024-06-02,2024-06-04
5,10,10,Soft Skills,110,78,100,2024-06-10,2024-06-06,2024-06-09
6,11,11,Management Skills,111,85,100,2024-06-15,2024-06-12,2024-06-14
6,12,12,Marketing Skills,112,90,100,2024-06-20,2024-06-18,2024-06-19
7,13,13,Data Skills,113,76,100,2024-06-25,2024-06-22,2024-06-24
7,14,14,Technical Skills,114,80,100,2024-06-30,2024-06-28,2024-06-29
8,15,15,Data Science,115,94,100,2024-07-05,2024-07-02,2024-07-04
8,16,16,Management Skills,116,89,100,2024-07-10,2024-07-07,2024-07-09
9,17,17,Soft Skills,117,73,100,2024-07-15,2024-07-12,2024-07-14
9,18,18,Web Development,118,91,100,2024-07-20,2024-07-18,2024-07-19
10,19,19,Technical Skills,119,84,100,2024-07-25,2024-07-22,2024-07-24
10,20,20,Data Skills,120,77,100,2024-07-30,2024-07-28,2024-07-29
11,21,21,Programming Languages,121,95,100,2024-08-05,2024-08-01,2024-08-04
11,22,22,Web Development,122,88,100,2024-08-10,2024-08-07,2024-08-09
12,23,23,Data Science,123,81,100,2024-08-15,2024-08-12,2024-08-14
12,24,24,Soft Skills,124,86,100,2024-08-20,2024-08-17,2024-08-19
13,25,25,Marketing Skills,125,90,100,2024-08-25,2024-08-22,2024-08-24
13,26,26,Data Skills,126,82,100,2024-08-30,2024-08-27,2024-08-29
14,27,27,Technical Skills,127,75,100,2024-09-05,2024-09-02,2024-09-04
14,28,28,Web Development,128,88,100,2024-09-10,2024-09-08,2024-09-09
15,29,29,Management Skills,129,85,100,2024-09-15,2024-09-12,2024-09-14
15,30,30,Soft Skills,130,78,100,2024-09-20,2024-09-18,2024-09-19
16,1,31,Programming Languages,131,93,100,2024-09-25,2024-09-23,2024-09-24
16,2,32,Technical Skills,132,81,100,2024-09-30,2024-09-28,2024-09-29
17,3,33,Data Science,133,76,100,2024-10-05,2024-10-02,2024-10-04
17,4,34,Web Development,134,89,100,2024-10-10,2024-10-07,2024-10-09
18,5,35,Soft Skills,135,84,100,2024-10-15,2024-10-12,2024-10-14
18,6,36,Marketing Skills,136,72,100,2024-10-20,2024-10-17,2024-10-19
19,7,37,Management Skills,137,91,100,2024-10-25,2024-10-22,2024-10-24
19,8,38,Data Skills,138,88,100,2024-10-30,2024-10-28,2024-10-29
20,9,39,Technical Skills,139,80,100,2024-11-05,2024-11-02,2024-11-04
20,10,40,Soft Skills,140,74,100,2024-11-10,2024-11-07,2024-11-09
21,11,41,Programming Languages,141,87,100,2024-11-15,2024-11-12,2024-11-14
21,12,42,Web Development,142,83,100,2024-11-20,2024-11-17,2024-11-19
22,13,43,Data Science,143,90,100,2024-11-25,2024-11-22,2024-11-24
22,14,44,Marketing Skills,144,76,100,2024-11-30,2024-11-27,2024-11-29
23,15,45,Technical Skills,145,78,100,2024-12-05,2024-12-02,2024-12-04
23,16,46,Management Skills,146,85,100,2024-12-10,2024-12-08,2024-12-09
24,17,47,Web Development,147,92,100,2024-12-15,2024-12-12,2024-12-14
24,18,48,Soft Skills,148,80,100,2024-12-20,2024-12-18,2024-12-19
25,19,49,Data Skills,149,78,100,2024-12-25,2024-12-22,2024-12-24
25,20,50,Technical Skills,150,89,100,2024-12-30,2024-12-27,2024-12-29
26,21,51,Management Skills,151,84,100,2025-01-05,2025-01-02,2025-01-04
26,22,52,Data Science,152,77,100,2025-01-10,2025-01-08,2025-01-09
27,23,53,Programming Languages,153,91,100,2025-01-15,2025-01-12,2025-01-14
27,24,54,Web Development,154,83,100,2025-01-20,2025-01-18,2025-01-19
28,25,55,Soft Skills,155,75,100,2025-01-25,2025-01-22,2025-01-24
28,26,56,Technical Skills,156,88,100,2025-01-30,2025-01-27,2025-01-29
29,27,57,Data Skills,157,94,100,2025-02-05,2025-02-02,2025-02-04
29,28,58,Management Skills,158,82,100,2025-02-10,2025-02-08,2025-02-09
30,29,59,Data Science,159,76,100,2025-02-15,2025-02-12,2025-02-14
30,30,60,Web Development,160,90,100,2025-02-20,2025-02-18,2025-02-19
1,1,61,Technical Skills,161,85,100,2025-02-25,2025-02-22,2025-02-24
1,2,62,Soft Skills,162,88,100,2025-03-01,2025-02-27,2025-02-28
2,3,63,Programming Languages,163,92,100,2025-03-05,2025-03-03,2025-03-04
2,4,64,Data Skills,164,80,100,2025-03-10,2025-03-07,2025-03-09
3,5,65,Management Skills,165,78,100,2025-03-15,2025-03-12,2025-03-14
3,6,66,Technical Skills,166,85,100,2025-03-20,2025-03-17,2025-03-19
4,7,67,Data Science,167,90,100,2025-03-25,2025-03-22,2025-03-24
4,8,68,Web Development,168,82,100,2025-03-30,2025-03-28,2025-03-29
5,9,69,Data Skills,169,93,100,2025-04-05,2025-04-02,2025-04-04
5,10,70,Technical Skills,170,79,100,2025-04-10,2025-04-07,2025-04-09
6,11,71,Management Skills,171,88,100,2025-04-15,2025-04-12,2025-04-14
6,12,72,Web Development,172,81,100,2025-04-20,2025-04-17,2025-04-19
7,13,73,Data Science,173,76,100,2025-04-25,2025-04-22,2025-04-24
7,14,74,Soft Skills,174,84,100,2025-04-30,2025-04-27,2025-04-29
8,15,75,Technical Skills,175,90,100,2025-05-05,2025-05-02,2025-05-04
8,16,76,Management Skills,176,82,100,2025-05-10,2025-05-07,2025-05-09
