empID,courseID,startDate,completionDate
1,1,2023-01-10 09:00:00,2023-03-10 17:00:00
2,2,2023-02-01 10:00:00,2023-04-01 15:00:00
3,3,2023-03-05 11:00:00,2023-05-05 16:00:00
4,4,2023-04-10 08:30:00,2023-06-10 14:00:00
5,5,2023-01-15 09:30:00,2023-03-15 17:30:00
6,6,2023-02-20 10:00:00,2023-04-20 16:00:00
7,7,2023-03-15 08:45:00,2023-05-15 13:30:00
8,8,2023-01-20 09:15:00,2023-03-20 15:45:00
9,9,2023-02-25 11:30:00,2023-04-25 17:15:00
10,10,2023-03-30 10:30:00,2023-05-30 16:30:00
11,11,2023-04-05 09:00:00,2023-06-05 14:00:00
12,12,2023-01-30 10:00:00,2023-03-30 15:00:00
13,13,2023-02-15 09:45:00,2023-04-15 17:00:00
14,14,2023-03-20 11:00:00,2023-05-20 16:00:00
15,15,2023-04-25 08:30:00,2023-06-25 14:30:00
16,16,2023-01-10 10:30:00,2023-03-10 15:30:00
17,17,2023-02-05 09:15:00,2023-04-05 16:15:00
18,18,2023-03-15 08:45:00,2023-05-15 13:45:00
19,19,2023-04-20 09:00:00,2023-06-20 14:00:00
20,20,2023-01-25 10:00:00,2023-03-25 15:00:00
21,21,2023-02-10 09:30:00,2023-04-10 17:30:00
22,22,2023-03-05 11:00:00,2023-05-05 16:00:00
23,23,2023-04-10 08:30:00,2023-06-10 14:00:00
24,24,2023-01-15 09:00:00,2023-03-15 17:00:00
25,25,2023-02-20 10:00:00,2023-04-20 16:00:00
26,26,2023-03-15 09:45:00,2023-05-15 17:15:00
27,27,2023-04-05 10:30:00,2023-06-05 15:30:00
28,28,2023-01-30 08:30:00,2023-03-30 14:30:00
29,29,2023-02-15 11:00:00,2023-04-15 16:00:00
30,30,2023-03-20 09:00:00,2023-05-20 14:00:00
31,1,2023-01-12 09:00:00,2023-03-12 17:00:00
32,2,2023-02-03 10:00:00,2023-04-03 15:00:00
33,3,2023-03-07 11:00:00,2023-05-07 16:00:00
34,4,2023-04-12 08:30:00,2023-06-12 14:00:00
35,5,2023-01-17 09:30:00,2023-03-17 17:30:00
36,6,2023-02-22 10:00:00,2023-04-22 16:00:00
37,7,2023-03-17 08:45:00,2023-05-17 13:30:00
38,8,2023-01-22 09:15:00,2023-03-22 15:45:00
39,9,2023-02-27 11:30:00,2023-04-27 17:15:00
40,10,2023-03-31 10:30:00,2023-05-31 16:30:00
41,11,2023-04-06 09:00:00,2023-06-06 14:00:00
42,12,2023-02-01 10:00:00,2023-04-01 15:00:00
43,13,2023-03-16 09:45:00,2023-05-16 17:00:00
44,14,2023-04-21 11:00:00,2023-06-21 16:00:00
45,15,2023-01-27 08:30:00,2023-03-27 14:30:00
46,16,2023-02-12 10:30:00,2023-04-12 15:30:00
47,17,2023-03-22 09:15:00,2023-05-22 16:15:00
48,18,2023-04-27 08:45:00,2023-06-27 13:45:00
49,19,2023-01-19 09:00:00,2023-03-19 14:00:00
50,20,2023-02-08 10:00:00,2023-04-08 15:00:00
51,21,2023-03-02 09:30:00,2023-05-02 17:30:00
52,22,2023-04-18 10:00:00,2023-06-18 14:00:00
53,23,2023-01-14 09:00:00,2023-03-14 17:00:00
54,24,2023-02-25 10:00:00,2023-04-25 16:00:00
55,25,2023-03-19 11:00:00,2023-05-19 16:00:00
56,26,2023-04-24 08:30:00,2023-06-24 14:00:00
57,27,2023-01-18 10:00:00,2023-03-18 15:00:00
58,28,2023-02-28 09:45:00,2023-04-28 17:15:00
59,29,2023-03-13 11:00:00,2023-05-13 16:00:00
60,30,2023-04-15 09:00:00,2023-06-15 14:00:00
61,1,2023-01-25 09:00:00,2023-03-25 17:00:00
62,2,2023-02-14 10:00:00,2023-04-14 15:00:00
63,3,2023-03-01 11:00:00,2023-05-01 16:00:00
64,4,2023-04-05 08:30:00,2023-06-05 14:00:00
65,5,2023-01-22 09:30:00,2023-03-22 17:30:00
66,6,2023-02-18 10:00:00,2023-04-18 16:00:00
67,7,2023-03-10 08:45:00,2023-05-10 13:30:00
68,8,2023-01-30 09:15:00,2023-03-30 15:45:00
69,9,2023-02-26 11:30:00,2023-04-26 17:15:00
70,10,2023-03-20 10:30:00,2023-05-20 16:30:00
71,11,2023-04-08 09:00:00,2023-06-08 14:00:00
72,12,2023-02-02 10:00:00,2023-04-02 15:00:00
73,13,2023-03-12 09:45:00,2023-05-12 17:00:00
74,14,2023-04-15 11:00:00,2023-06-15 16:00:00
75,15,2023-01-19 08:30:00,2023-03-19 14:30:00
76,16,2023-02-16 10:30:00,2023-04-16 15:30:00
77,17,2023-03-22 09:15:00,2023-05-22 16:15:00
78,18,2023-04-25 08:45:00,2023-06-25 13:45:00
79,19,2023-01-26 09:00:00,2023-03-26 14:00:00
80,20,2023-02-09 10:00:00,2023-04-09 15:00:00
81,21,2023-03-15 09:30:00,2023-05-15 17:30:00
82,22,2023-04-20 10:00:00,2023-06-20 14:00:00
83,23,2023-01-17 09:00:00,2023-03-17 17:00:00
84,24,2023-02-22 10:00:00,2023-04-22 16:00:00
85,25,2023-03-25 11:00:00,2023-05-25 16:00:00
86,26,2023-04-12 08:30:00,2023-06-12 14:00:00
87,27,2023-01-21 10:00:00,2023-03-21 15:00:00
88,28,2023-02-28 09:45:00,2023-04-28 17:15:00
89,29,2023-03-11 11:00:00,2023-05-11 16:00:00
90,30,2023-04-18 09:00:00,2023-06-18 14:00:00
91,1,2023-01-28 09:00:00,2023-03-28 17:00:00
92,2,2023-02-05 10:00:00,2023-04-05 15:00:00
93,3,2023-03-02 11:00:00,2023-05-02 16:00:00
94,4,2023-04-07 08:30:00,2023-06-07 14:00:00
95,5,2023-01-23 09:30:00,2023-03-23 17:30:00
96,6,2023-02-12 10:00:00,2023-04-12 16:00:00
97,7,2023-03-09 08:45:00,2023-05-09 13:30:00
98,8,2023-01-26 09:15:00,2023-03-26 15:45:00
99,9,2023-02-19 11:30:00,2023-04-19 17:15:00
100,10,2023-03-23 10:30:00,2023-05-23 16:30:00
101,11,2023-04-02 09:00:00,2023-06-02 14:00:00
102,12,2023-01-15 10:00:00,2023-03-15 15:00:00
103,13,2023-02-24 09:45:00,2023-04-24 17:00:00
104,14,2023-03-17 11:00:00,2023-05-17 16:00:00
105,15,2023-04-20 08:30:00,2023-06-20 14:30:00
106,16,2023-01-31 10:30:00,2023-03-31 15:30:00
107,17,2023-02-18 09:15:00,2023-04-18 16:15:00
108,18,2023-03-28 08:45:00,2023-05-28 13:45:00
109,19,2023-04-10 09:00:00,2023-06-10 14:00:00
110,20,2023-01-20 10:00:00,2023-03-20 15:00:00
111,21,2023-02-06 09:30:00,2023-04-06 17:30:00
112,22,2023-03-15 10:00:00,2023-05-15 14:00:00
113,23,2023-04-25 09:00:00,2023-06-25 17:00:00
114,24,2023-01-18 10:00:00,2023-03-18 16:00:00
115,25,2023-02-22 11:00:00,2023-04-22 16:00:00
116,26,2023-03-05 08:30:00,2023-05-05 14:00:00
117,27,2023-04-15 09:00:00,2023-06-15 14:00:00
118,28,2023-01-12 10:00:00,2023-03-12 15:00:00
119,29,2023-02-09 09:45:00,2023-04-09 17:15:00
120,30,2023-03-30 11:00:00,2023-05-30 16:00:00
121,1,2023-01-05 09:00:00,2023-03-05 17:00:00
122,2,2023-02-11 10:00:00,2023-04-11 15:00:00
123,3,2023-03-14 11:00:00,2023-05-14 16:00:00
124,4,2023-04-09 08:30:00,2023-06-09 14:00:00
125,5,2023-01-29 09:30:00,2023-03-29 17:30:00
126,6,2023-02-17 10:00:00,2023-04-17 16:00:00
128,8,2023-01-16 09:15:00,2023-03-16 15:45:00
127,7,2023-03-26 08:45:00,2023-05-26 13:30:00
129,9,2023-02-20 11:30:00,2023-04-20 17:15:00
130,10,2023-03-15 10:30:00,2023-05-15 16:30:00
131,11,2023-04-21 09:00:00,2023-06-21 14:00:00
132,12,2023-01-25 10:00:00,2023-03-25 15:00:00
133,13,2023-02-04 09:45:00,2023-04-04 17:00:00
134,14,2023-03-10 11:00:00,2023-05-10 16:00:00
135,15,2023-04-12 08:30:00,2023-06-12 14:30:00
136,16,2023-01-30 10:30:00,2023-03-30 15:30:00
137,17,2023-02-14 09:15:00,2023-04-14 16:15:00
138,18,2023-03-29 08:45:00,2023-05-29 13:45:00
139,19,2023-04-03 09:00:00,2023-06-03 14:00:00
140,20,2023-01-24 10:00:00,2023-03-24 15:00:00
141,21,2023-02-19 09:30:00,2023-04-19 17:30:00
142,22,2023-03-08 10:00:00,2023-05-08 14:00:00
143,23,2023-04-28 09:00:00,2023-06-28 17:00:00
144,24,2023-01-11 10:00:00,2023-03-11 16:00:00
145,25,2023-02-28 11:00:00,2023-04-28 16:00:00
146,26,2023-03-06 08:30:00,2023-05-06 14:00:00
147,27,2023-04-16 09:00:00,2023-06-16 14:00:00
148,28,2023-01-12 10:00:00,2023-03-12 15:00:00
149,29,2023-02-08 09:45:00,2023-04-08 17:15:00
150,30,2023-03-19 11:00:00,2023-05-19 16:00:00

