empID,courseID,skillID,skillCategory,assessmentID,assessment_score,max_score,due_date,test_taken,test_completed,assessment_percentage
1,1,1,Programming Languages,101,85,100,2024-05-01,2024-04-28,2024-04-30,85.0
1,2,2,Programming Languages,102,90,100,2024-05-05,2024-05-01,2024-05-03,90.0
2,3,3,Management Skills,103,75,100,2024-05-10,2024-05-07,2024-05-09,75.0
2,4,4,Data Skills,104,80,100,2024-05-15,2024-05-12,2024-05-14,80.0
3,5,5,Data Science,105,95,100,2024-05-20,2024-05-18,2024-05-19,95.0
3,6,6,Soft Skills,106,70,100,2024-05-25,2024-05-22,2024-05-24,70.0
4,7,7,Web Development,107,88,100,2024-05-30,2024-05-28,2024-05-29,88.0
4,8,8,Web Development,108,82,100,2024-06-01,2024-05-31,2024-05-31,82.0
5,9,9,Technical Skills,109,92,100,2024-06-05,2024-06-02,2024-06-04,92.0
5,10,10,Soft Skills,110,78,100,2024-06-10,2024-06-06,2024-06-09,78.0
6,11,11,Management Skills,111,85,100,2024-06-15,2024-06-12,2024-06-14,85.0
6,12,12,Marketing Skills,112,90,100,2024-06-20,2024-06-18,2024-06-19,90.0
7,13,13,Data Skills,113,76,100,2024-06-25,2024-06-22,2024-06-24,76.0
7,14,14,Technical Skills,114,80,100,2024-06-30,2024-06-28,2024-06-29,80.0
8,15,15,Data Science,115,94,100,2024-07-05,2024-07-02,2024-07-04,94.0
8,16,16,Management Skills,116,89,100,2024-07-10,2024-07-07,2024-07-09,89.0
9,17,17,Soft Skills,117,73,100,2024-07-15,2024-07-12,2024-07-14,73.0
9,18,18,Web Development,118,91,100,2024-07-20,2024-07-18,2024-07-19,91.0
10,19,19,Technical Skills,119,84,100,2024-07-25,2024-07-22,2024-07-24,84.0
10,20,20,Data Skills,120,77,100,2024-07-30,2024-07-28,2024-07-29,77.0
11,21,21,Programming Languages,121,95,100,2024-08-05,2024-08-01,2024-08-04,95.0
11,22,22,Web Development,122,88,100,2024-08-10,2024-08-07,2024-08-09,88.0
12,23,23,Data Science,123,81,100,2024-08-15,2024-08-12,2024-08-14,81.0
12,24,24,Soft Skills,124,86,100,2024-08-20,2024-08-17,2024-08-19,86.0
13,25,25,Marketing Skills,125,90,100,2024-08-25,2024-08-22,2024-08-24,90.0
13,26,26,Data Skills,126,82,100,2024-08-30,2024-08-27,2024-08-29,82.0
14,27,27,Technical Skills,127,75,100,2024-09-05,2024-09-02,2024-09-04,75.0
14,28,28,Web Development,128,88,100,2024-09-10,2024-09-08,2024-09-09,88.0
15,29,29,Management Skills,129,85,100,2024-09-15,2024-09-12,2024-09-14,85.0
15,30,30,Soft Skills,130,78,100,2024-09-20,2024-09-18,2024-09-19,78.0
16,1,31,Programming Languages,131,93,100,2024-09-25,2024-09-23,2024-09-24,93.0
16,2,32,Technical Skills,132,81,100,2024-09-30,2024-09-28,2024-09-29,81.0
